TableName                | EntryIndex   | EntryName
OpCodeStrings            | 0            |         
OpCodeStrings            | 1            |         
OpCodeStrings            | 2            |         
OpCodeStrings            | 3            | 14 ib   
OpCodeStrings            | 4            | 15 iw   
OpCodeStrings            | 5            | 15 id   
OpCodeStrings            | 6            | 81 /2 iw
OpCodeStrings            | 7            | 83 /2 ib
OpCodeStrings            | 8            | 11 /r   
OpCodeStrings            | 9            | 81 /2 id
OpCodeStrings            | 10           | 83 /2 ib
OpCodeStrings            | 11           | 11 /r   
OpCodeStrings            | 12           | REX.W + 81 /2 id
OpCodeStrings            | 13           | REX.W + 83 /2 ib
OpCodeStrings            | 14           | REX.W + 11 /r
OpCodeStrings            | 15           | REX + 80 /2 ib
OpCodeStrings            | 16           | 80 /2 ib
OpCodeStrings            | 17           | 10 /r   
OpCodeStrings            | 18           | REX + 10 /r
OpCodeStrings            | 19           | 13 /r   
OpCodeStrings            | 20           | 13 /r   
OpCodeStrings            | 21           | REX.W + 13 /r
OpCodeStrings            | 22           | 12 /r   
OpCodeStrings            | 23           | REX + 12 /r
OpCodeStrings            | 24           | REX.W + 15 id
OpCodeStrings            | 25           | 66 0F 38 F6 /r
OpCodeStrings            | 26           | 66 REX.w 0F 38 F6 /r
OpCodeStrings            | 27           | 04 ib   
OpCodeStrings            | 28           | 05 iw   
OpCodeStrings            | 29           | 05 id   
OpCodeStrings            | 30           | 81 /0 iw
OpCodeStrings            | 31           | 83 /0 ib
OpCodeStrings            | 32           | 01 /r   
OpCodeStrings            | 33           | 81 /0 id
OpCodeStrings            | 34           | 83 /0 ib
OpCodeStrings            | 35           | 01 /r   
OpCodeStrings            | 36           | REX.W + 81 /0 id
OpCodeStrings            | 37           | REX.W + 83 /0 ib
OpCodeStrings            | 38           | REX.W + 01 /r
OpCodeStrings            | 39           | 80 /0 ib
OpCodeStrings            | 40           | REX + 80 /0 ib
OpCodeStrings            | 41           | 00 /r   
OpCodeStrings            | 42           | REX + 00 /r
OpCodeStrings            | 43           | 03 /r   
OpCodeStrings            | 44           | 03 /r   
OpCodeStrings            | 45           | REX.W + 03 /r
OpCodeStrings            | 46           | REX + 02 /r
OpCodeStrings            | 47           | 02 /r   
OpCodeStrings            | 48           | REX.W + 05 id
OpCodeStrings            | 49           | 66 0F 58 /r
OpCodeStrings            | 50           | 24 ib   
OpCodeStrings            | 51           | 25 iw   
OpCodeStrings            | 52           | 25 id   
OpCodeStrings            | 53           | 81 /4 iw
OpCodeStrings            | 54           | 83 /4 ib
OpCodeStrings            | 55           | 21 /r   
OpCodeStrings            | 56           | 81 /4 id
OpCodeStrings            | 57           | 83 /4 ib
OpCodeStrings            | 58           | 21 /r   
OpCodeStrings            | 59           | REX.W + 81 /4 id
OpCodeStrings            | 60           | REX.W + 83 /4 ib
OpCodeStrings            | 61           | REX.W + 21 /r
OpCodeStrings            | 62           | REX + 80 /4 ib
OpCodeStrings            | 63           | 80 /4 ib
OpCodeStrings            | 64           | 20 /r   
OpCodeStrings            | 65           | REX + 20 /r
OpCodeStrings            | 66           | 23 /r   
OpCodeStrings            | 67           | 23 /r   
OpCodeStrings            | 68           | REX.W + 23 /r
OpCodeStrings            | 69           | 22 /r   
OpCodeStrings            | 70           | REX + 22 /r
